length=100,window_size=10
1,2022-11-22,150.179993
2,2022-11-23,151.070007
3,2022-11-25,148.110001
4,2022-11-28,144.220001
5,2022-11-29,141.169998
6,2022-11-30,148.029999
7,2022-12-01,148.309998
8,2022-12-02,147.809998
9,2022-12-05,146.630005
10,2022-12-06,142.910004
11,2022-12-07,140.940002
12,2022-12-08,142.649994
13,2022-12-09,142.160004
14,2022-12-12,144.490005
15,2022-12-13,145.470001
16,2022-12-14,143.210007
17,2022-12-15,136.500000
18,2022-12-16,134.509995
19,2022-12-19,132.369995
20,2022-12-20,132.300003
21,2022-12-21,135.449997
22,2022-12-22,132.229996
23,2022-12-23,131.860001
24,2022-12-27,130.029999
25,2022-12-28,126.040001
26,2022-12-29,129.610001
27,2022-12-30,129.929993
28,2023-01-03,125.070000
29,2023-01-04,126.360001
30,2023-01-05,125.019997
31,2023-01-06,129.619995
32,2023-01-09,130.149994
33,2023-01-10,130.729996
34,2023-01-11,133.490005
35,2023-01-12,133.410004
36,2023-01-13,134.759995
37,2023-01-17,135.940002
38,2023-01-18,135.210007
39,2023-01-19,135.270004
40,2023-01-20,137.869995
41,2023-01-23,141.110001
42,2023-01-24,142.529999
43,2023-01-25,141.860001
44,2023-01-26,143.960007
45,2023-01-27,145.929993
46,2023-01-30,143.000000
47,2023-01-31,144.289993
48,2023-02-01,145.429993
49,2023-02-02,150.820007
50,2023-02-03,154.500000
51,2023-02-06,151.729996
52,2023-02-07,154.649994
53,2023-02-08,151.919998
54,2023-02-09,150.869995
55,2023-02-10,151.009995
56,2023-02-13,153.850006
57,2023-02-14,153.199997
58,2023-02-15,155.330002
59,2023-02-16,153.710007
60,2023-02-17,152.550003
61,2023-02-21,148.479996
62,2023-02-22,148.910004
63,2023-02-23,149.399994
64,2023-02-24,146.710007
65,2023-02-27,147.919998
66,2023-02-28,147.410004
67,2023-03-01,145.309998
68,2023-03-02,145.910004
69,2023-03-03,151.029999
70,2023-03-06,153.830002
71,2023-03-07,151.600006
72,2023-03-08,152.869995
73,2023-03-09,150.589996
74,2023-03-10,148.500000
75,2023-03-13,150.470001
76,2023-03-14,152.589996
77,2023-03-15,152.990005
78,2023-03-16,155.850006
79,2023-03-17,155.000000
80,2023-03-20,157.399994
81,2023-03-21,159.279999
82,2023-03-22,157.830002
83,2023-03-23,158.929993
84,2023-03-24,160.250000
85,2023-03-27,158.279999
86,2023-03-28,157.649994
87,2023-03-29,160.770004
88,2023-03-30,162.360001
89,2023-03-31,164.899994
90,2023-04-03,166.169998
91,2023-04-04,165.630005
92,2023-04-05,163.759995
93,2023-04-06,164.660004
94,2023-04-10,162.029999
95,2023-04-11,160.800003
96,2023-04-12,160.100006
97,2023-04-13,165.559998
98,2023-04-14,165.210007
99,2023-04-17,165.229996
100,2023-04-18,166.470001
